Object Name,Satellite of,Equatorial Radius [m],Mean Radius [m],Mass [kg],Bulk Density [kg m-3],Semimajor Axis [m],Sidereal Rotation Period [s],Sidereal Orbit Period (Negative Indicates Retrograde) [s],Inclination (Relative to Primary's Equator)[deg],Eccentricity,Axial Tilt [deg],Magnitude [mag],Magnitude Band [UBVRI],Geometric Albedo,Mean Gravity [m s-2],Equatorial Gravity [m-2],Escape Velocity [m s-1],Perihelion [m],Aphelion [m],Luminosity [J s-1],Orbital Motion [rad s-1],Beta Parameter [kg m-1 s-2],Core Radius [m],Mantle Thickness [m]
Harpalyke,Jupiter,,2.20E+03,1.20E+14,2.60E+03,,,-5.39E+07,,,,22.2,R,4.00E-02,1.65E-03,,,,,,-1.17E-07,9.46E+03,,
Kalyke,Jupiter,,2.60E+03,1.95E+14,2.60E+03,,,-6.42E+07,,,,21.8,R,4.00E-02,1.92E-03,,,,,,-9.79E-08,1.30E+04,,
Iocaste,Jupiter,,2.60E+03,1.95E+14,2.60E+03,,,-5.46E+07,,,,21.8,R,4.00E-02,1.92E-03,,,,,,-1.15E-07,1.30E+04,,
Erinome,Jupiter,,1.60E+03,4.50E+13,2.60E+03,,,,,,,22.8,R,4.00E-02,1.17E-03,,,,,,,4.88E+03,,
Isonoe,Jupiter,,1.90E+03,7.49E+13,2.60E+03,,,,,,,22.5,R,4.00E-02,1.39E-03,,,,,,,6.84E+03,,
Praxidike,Jupiter,,3.40E+03,4.35E+14,2.60E+03,,,,,,,21.2,R,4.00E-02,2.51E-03,,,,,,,2.22E+04,,
Autonoe,Jupiter,,2.00E+03,8.99E+13,2.60E+03,,,,,,,22,R,4.00E-02,1.50E-03,,,,,,,7.80E+03,,
Thyone,Jupiter,,2.00E+03,8.99E+13,2.60E+03,,,,,,,22.3,R,4.00E-02,1.50E-03,,,,,,,7.80E+03,,
Hermippe,Jupiter,,2.00E+03,8.99E+13,2.60E+03,,,,,,,22.1,R,4.00E-02,1.50E-03,,,,,,,7.80E+03,,
Aitne,Jupiter,,1.50E+03,4.50E+13,2.60E+03,,,,,,,22.7,R,4.00E-02,1.33E-03,,,,,,,5.20E+03,,
Eurydome,Jupiter,,1.50E+03,4.50E+13,2.60E+03,,,,,,,22.7,R,4.00E-02,1.33E-03,,,,,,,5.20E+03,,
Euanthe,Jupiter,,1.50E+03,4.50E+13,2.60E+03,,,,,,,22.8,R,4.00E-02,1.33E-03,,,,,,,5.20E+03,,
Euporie,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.1,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
Orthosie,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.1,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
Sponde,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
Kale,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
Pasithee,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.2,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
Hegemone,Jupiter,,1.50E+03,4.50E+13,2.60E+03,,,,,,,22.8,R,4.00E-02,1.33E-03,,,,,,,5.20E+03,,
Mneme,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.3,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
Aoede,Jupiter,,2.00E+03,8.99E+13,2.60E+03,,,,,,,22.5,R,4.00E-02,1.50E-03,,,,,,,7.80E+03,,
Thelxinoe,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.5,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
Arche,Jupiter,,1.50E+03,4.50E+13,2.60E+03,,,,,,,22.8,R,4.00E-02,1.33E-03,,,,,,,5.20E+03,,
Kallichore,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.7,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
Helike,Jupiter,,2.00E+03,8.99E+13,2.60E+03,,,,,,,22.6,R,4.00E-02,1.50E-03,,,,,,,7.80E+03,,
Carpo,Jupiter,,1.50E+03,4.50E+13,2.60E+03,,,,,,,23,R,4.00E-02,1.33E-03,,,,,,,5.20E+03,,
Eukelade,Jupiter,,2.00E+03,8.99E+13,2.60E+03,,,,,,,22.6,R,4.00E-02,1.50E-03,,,,,,,7.80E+03,,
Cyllene,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.2,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
Kore,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.6,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
Herse,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.4,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
S_2000_J11,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,22.4,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
S_2003_J2,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.2,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
S_2003_J3,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.4,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
S_2003_J4,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
S_2003_J5,Jupiter,,2.00E+03,8.99E+13,2.60E+03,,,,,,,22.4,R,4.00E-02,1.50E-03,,,,,,,7.80E+03,,
S_2003_J9,Jupiter,,5.00E+02,1.50E+12,2.60E+03,,,,,,,23.7,R,4.00E-02,4.00E-04,,,,,,,5.20E+02,,
S_2003_J10,Jupiter,,1.00E+03,1.50E+13,2.60E+03,,,,,,,23.6,R,4.00E-02,1.00E-03,,,,,,,2.60E+03,,
